"timestamp","co2","humid","light","noise","pm10","pm25","score","temp","voc"
"2024-08-11 15:00:30","493","71.31","5.2","52.4","6.2659","5","78","71.20400000000001","186"
"2024-08-11 01:15:29","424","75.2","24.2","50.8","4.2417","3","74","70.592","183"
"2024-08-11 02:15:31","424","74.88","24.2","50.8","3.2296","2","74","70.592","182"
"2024-08-11 10:20:35","420","72.2","24","50.4","3.2296","2","77","70.61","159"
"2024-08-11 10:50:31","424","72.16","24.2","50.4","3.2296","2","77","70.664","181"
"2024-08-11 00:00:35","422","75.52","24.2","51.2","19.4232","18","71","70.484","177"
"2024-08-11 11:30:29","426","71.91","24.2","50.4","4.2417","3","77","70.77199999999999","166"
"2024-08-11 19:45:36","473","70.61","5.09","49.9","4.2417","3","79","71.258","181"
"2024-08-11 02:05:29","426","74.95","24.2","50.8","3.2296","2","74","70.61","181"
"2024-08-11 07:20:30","428","72.2","24","50.4","3.2296","2","77","70.46600000000001","175"
"2024-08-11 09:40:37","425","72.15","24","50.3","2.2175000000000002","1","77","70.646","162"
"2024-08-11 01:20:30","422","75.16","24.2","50.8","3.2296","2","74","70.538","182"
"2024-08-11 12:40:32","418","71.55","24","51.1","7.278","6","78","70.952","180"
"2024-08-11 20:05:29","467","70.84","5.09","50.1","4.2417","3","78","71.15","197"
"2024-08-11 15:45:28","498","71.26","5.09","50","8.290099999999999","7","78","71.15","173"
"2024-08-11 11:55:03","421","71.86","24.2","50.7","6.2659","5","77","70.79","169"
"2024-08-11 03:35:27","429","74.23","24.2","50.8","18.4111","17","72","70.61","184"
"2024-08-11 01:40:35","427","74.98","24.2","50.9","3.2296","2","74","70.592","182"
"2024-08-11 17:10:35","485","71.08","5.2","49.9","12.3385","11","77","71.186","187"
"2024-08-11 20:20:32","466","70.89","5.09","50","8.290099999999999","7","78","71.15","179"
"2024-08-11 16:55:32","489","71.15","5.09","50.1","8.290099999999999","7","78","71.15","184"
"2024-08-11 14:00:28","416","71.22","24.2","53.8","7.278","6","78","71.078","169"
"2024-08-11 20:10:30","470","70.8","5.09","49.9","6.2659","5","78","71.20400000000001","180"
"2024-08-11 19:00:27","476","70.5","5.09","50","4.2417","3","78","71.222","204"
"2024-08-11 18:05:36","475","70.86","5.2","49.8","11.3264","10","77","71.15","165"
"2024-08-11 18:10:27","476","70.84","5.09","49.8","11.3264","10","77","71.15","186"
"2024-08-11 06:35:31","424","72.29","24.2","50.4","4.2417","3","77","70.538","161"
"2024-08-11 09:55:30","425","72.12","24.2","50.3","3.2296","2","77","70.646","176"
"2024-08-11 10:40:29","423","72.27","24.2","50.3","3.2296","2","77","70.61","174"
"2024-08-11 19:20:31","473","70.41","5.09","49.9","8.290099999999999","7","79","71.276","178"
"2024-08-11 14:10:30","475","70","5.6","57.6","6.2659","5","79","72.176","189"
"2024-08-11 11:25:28","432","71.98","24.2","50.3","4.2417","3","77","70.7","169"
"2024-08-11 18:25:30","469","70.68","5.09","50","5.2538","4","78","71.20400000000001","187"
"2024-08-11 09:05:30","425","72.08","24.2","50.4","3.2296","2","77","70.61","174"
"2024-08-11 13:10:28","415","71.37","24","51.2","5.2538","4","78","70.952","162"
"2024-08-11 05:15:35","426","73.13","24","50.8","4.2417","3","76","70.646","154"
"2024-08-11 08:05:28","425","72.13","24.2","50.3","5.2538","4","77","70.484","160"
"2024-08-11 01:25:31","423","74.92","24","50.8","3.2296","2","74","70.664","181"
"2024-08-11 23:50:33","463","70.7","5.09","50","3.2296","2","78","71.042","188"
"2024-08-11 01:05:28","418","75.06","24","50.8","3.2296","2","74","70.61","181"
"2024-08-11 15:20:34","501","71.4","5.2","50.1","6.2659","5","78","71.20400000000001","190"
"2024-08-11 19:35:34","471","70.69","5.09","49.9","3.2296","2","78","71.186","181"
"2024-08-11 21:45:29","466","70.9","5.2","50","7.278","6","78","71.096","205"
"2024-08-11 00:25:30","426","75.43","24.2","50.7","12.3385","11","72","70.52","178"
"2024-08-11 12:00:35","420","71.73","24.2","50.5","6.2659","5","78","70.826","167"
"2024-08-11 21:30:36","470","70.9","5.09","50","7.278","6","78","71.186","187"
"2024-08-11 00:20:29","428","75.18","24.2","50.7","6.2659","5","74","70.52","183"
"2024-08-11 15:05:31","505","71.33","5.2","50.2","6.2659","5","78","71.20400000000001","173"
"2024-08-11 16:10:33","489","71.22","5.09","50","8.290099999999999","7","78","71.132","182"
"2024-08-11 04:00:32","428","74.02","24","50.8","8.290099999999999","7","75","70.52","177"
"2024-08-11 13:50:36","421","71.33","24","51.2","7.278","6","78","71.078","181"
"2024-08-11 05:05:33","425","73.33","24","47","3.2296","2","77","70.538","75"
"2024-08-11 23:05:35","470","70.64","5.2","50","4.2417","3","78","71.132","197"
"2024-08-11 21:20:34","473","70.77","5.09","50","8.290099999999999","7","78","71.222","193"
"2024-08-11 17:05:34","483","71.2","5.09","49.8","11.3264","10","77","71.186","180"
"2024-08-11 05:35:29","429","72.94","24","50.7","5.2538","4","76","70.592","164"
"2024-08-11 17:45:32","488","71.06","5.2","49.8","19.4232","18","75","71.078","191"
"2024-08-11 18:38:42","480","70.43","5.2","50.1","4.2417","3","78","71.258","202"
"2024-08-11 06:10:36","430","72.61","24","50.4","3.2296","2","77","70.52","166"
"2024-08-11 12:55:35","418","71.59","24","51","7.278","6","78","70.97","173"
"2024-08-11 04:50:32","427","73.42","24","50.6","3.2296","2","76","70.61","180"
"2024-08-11 00:45:34","421","75.13","24.2","50.8","5.2538","4","74","70.61","183"
"2024-08-11 10:05:32","421","72.23","24","50.2","3.2296","2","77","70.646","182"
"2024-08-11 23:15:36","463","70.83","5.09","50","4.2417","3","78","71.042","187"
"2024-08-11 12:50:34","423","71.45","24.2","51","6.2659","5","78","70.988","164"
"2024-08-11 05:20:36","422","73.27","24","50.7","5.2538","4","76","70.484","166"
"2024-08-11 19:40:35","473","70.7","5.09","50","3.2296","2","78","71.186","182"
"2024-08-11 03:05:31","425","74.33","24.3","50.8","14.3627","13","73","70.646","183"
"2024-08-11 12:15:27","418","71.66","24","50.7","7.278","6","78","70.898","173"
"2024-08-11 08:00:28","426","72.06","24.2","50.4","4.2417","3","77","70.484","172"
"2024-08-11 03:20:34","419","74.56","24.2","50.6","11.3264","10","74","70.538","182"
"2024-08-11 05:00:34","428","73.56","24","50.7","3.2296","2","76","70.52","181"
"2024-08-11 16:00:31","491","71.28","5.09","50","7.278","6","78","71.15","175"
"2024-08-11 23:25:28","466","70.86","5.09","50","5.2538","4","78","71.132","203"
"2024-08-11 13:45:35","421","71.28","24","51.1","6.2659","5","78","71.042","186"
"2024-08-11 06:50:34","424","72.17","24","50.4","4.2417","3","77","70.484","185"
